GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
statistics,default,Poster,0,12,0,0,0,1,0,1,0,1
statistics,default,PosterRepository,0,108,0,6,0,21,0,7,0,4
